codigo,nombre
I84.6,Residuos de hemorroides cutaneos del ano
I84.9,Hemorroides no especificadas sin complicacion
I85,Varices esofagicas
I85.0,Varices esofagicas con hemorragia
I85.9,Varices esofagicas sin hemorragia
I86,Varices de otros sitios
I87,Otros trastornos de las venas
I87.0,Sindrome postflebitico
I87.1,Compresion de vena
I87.2,Insuficiencia venosa (cronica) (periferica)
I87.9,Trastorno de la vena no especificado
I88,Linfadenitis inespecifica
I88.0,Linfadenitis mesenterica inespecifica
I88.1,Linfadenitis cronica excepto la mesenterica
I88.9,Linfadenitis inespecifica sin otra especificacion
I89,Otros trastornos no infecciosos de los vasos y ganglios linfaticos
I89.0,Linfedema no clasificado en otra parte
I89.1,Linfangitis
I95,Hipotension
I95.0,Hipotension idiopatica
I95.1,Hipotension ortostatica
I95.9,Hipotension no especificada
I97,Trastornos del sistema circulatorio consecutivos a procedimientos no clasificados en otra parte
I99,Otros trastornos y los no especificados del sistema circulatorio
J00,Rinofaringitis aguda [resfriado comun]
J01,Sinusitis aguda
J01.0,Sinusitis maxilar aguda
J01.1,Sinusitis frontal aguda
J01.2,Sinusitis etmoidal aguda
J01.3,Sinusitis esfenoidal aguda
J01.4,Pansinusitis aguda
J01.8,Otras sinusitis agudas
J01.9,Sinusitis aguda no especificada
J02,Faringitis aguda
J02.0,Faringitis estreptococica
J02.8,Faringitis aguda debida a otros microorganismos especificados
J02.9,Faringitis aguda no especificada
J03,Amigdalitis aguda
J03.0,Amigdalitis estreptococica
J03.8,Amigdalitis aguda debida a otros microorganismos especificados
J03.9,Amigdalitis aguda no especificada
J04,Laringitis y traqueitis agudas
J04.0,Laringitis aguda
J04.1,Traqueitis aguda
J04.2,Laringotraqueitis aguda
J05,Laringitis obstructiva aguda [crup] y epiglotitis
J05.0,Laringitis obstructiva aguda [crup]
J05.1,Epiglotitis aguda
J06,Infecciones agudas de las vias respiratorias superiores de sitios multiples y no especificados
J06.0,Laringofaringitis aguda
J06.8,Otras infecciones agudas de las vias respiratorias superiores sitios multiples
J06.9,Infeccion aguda de las vias respiratorias superiores no especificada
J09,Influenza debida a ciertos virus de la influenza identificados
J10,Influenza debida a otro virus de la influenza identificado
J10.0,Influenza con neumonia virus de la influenza estacional identificado
J10.1,Influenza con otras manifestaciones respiratorias virus de la influenza estacional identificado
J10.8,Influenza con otras manifestaciones virus de la influenza estacional identificado
J11,Influenza debida a virus no identificado
J11.0,Influenza con neumonia virus no identificado
J11.1,Influenza con otras manifestaciones respiratorias virus no identificado
J11.8,Influenza con otras manifestaciones virus no identificado
J12,Neumonia viral no clasificada en otra parte
J12.0,Neumonia debida a adenovirus
J12.1,Neumonia debida a virus sincitial respiratorio
J12.8,Neumonia debida a otros virus
J12.9,Neumonia viral no especificada
J13,Neumonia debida a Streptococcus pneumoniae
J14,Neumonia debida a Haemophilus influenzae
J15,Neumonia bacteriana no clasificada en otra parte
J15.0,Neumonia debida a Klebsiella pneumoniae
J15.1,Neumonia debida a Pseudomonas
J15.2,Neumonia debida a estafilococo
J15.4,Neumonia debida a otros estreptococos
J15.5,Neumonia debida a Escherichia coli
J15.6,Neumonia debida a otras bacterias aerobicas gramnegativas
J15.7,Neumonia debida a Mycoplasma pneumoniae
J15.8,Otras neumonias bacterianas
J15.9,Neumonia bacteriana no especificada
J16,Neumonia debida a otros microorganismos infecciosos no clasificados en otra parte
J17,Neumonia en enfermedades clasificadas en otra parte
J18,Neumonia organismo no especificado
J18.0,Bronconeumonia no especificada
J18.1,Neumonia lobar no especificada
J18.2,Neumonia hipostatica no especificada
J18.8,Otras neumonias de microorganismo no especificado
J18.9,Neumonia no especificada
J20,Bronquitis aguda
J20.0,Bronquitis aguda debida a Mycoplasma pneumoniae
J20.4,Bronquitis aguda debida a virus parainfluenza
J20.5,Bronquitis aguda debida a virus sincitial respiratorio
J20.8,Bronquitis aguda debida a otros microorganismos especificados
J20.9,Bronquitis aguda no especificada
J21,Bronquiolitis aguda
J21.0,Bronquiolitis aguda debida a virus sincitial respiratorio
J21.8,Bronquiolitis aguda debida a otros microorganismos especificados
J21.9,Bronquiolitis aguda no especificada
J22,Infeccion aguda no especificada de las vias respiratorias inferiores
J30,Rinitis alergica y vasomotora
J30.0,Rinitis vasomotora
J30.1,Rinitis alergica debida al polen
J30.2,Otra rinitis alergica estacional
J30.3,Otras rinitis alergicas
J30.4,Rinitis alergica no especificada
J31,Rinitis nasofaringitis y faringitis cronicas
J31.0,Rinitis cronica
J31.1,Nasofaringitis cronica
J31.2,Faringitis cronica
J32,Sinusitis cronica
J32.0,Sinusitis maxilar cronica
J32.1,Sinusitis frontal cronica
J32.4,Pansinusitis cronica
J32.8,Otras sinusitis cronicas
J32.9,Sinusitis cronica no especificada
J33,Polipo nasal
J33.0,Polipo de la cavidad nasal
J33.1,Degeneracion polipoide del seno paranasal
J33.8,Otros polipos de los senos paranasales
J33.9,Polipo nasal no especificado
J34,Otros trastornos de la nariz y de los senos paranasales
J34.0,Absceso forunculo y antrax de la nariz
J34.1,Quiste y mucocele de la nariz y del seno paranasal
J34.2,Desviacion del tabique nasal
J34.3,Hipertrofia de los cornetes nasales
J34.8,Otros trastornos especificados de la nariz y de los senos paranasales
J35,Enfermedades cronicas de las amigdalas y de las adenoides
J35.0,Amigdalitis cronica
J35.1,Hipertrofia de las amigdalas
J35.2,Hipertrofia de las adenoides
J35.3,Hipertrofia de las amigdalas con hipertrofia de las adenoides
J35.8,Otras enfermedades cronicas de las amigdalas y de las adenoides
J35.9,Enfermedad cronica de las amigdalas y de las adenoides no especificada
J36,Absceso periamigdalino
J37,Laringitis y laringotraqueitis cronicas
J37.0,Laringitis cronica
J37.1,Laringotraqueitis cronica
J38,Enfermedades de las cuerdas vocales y de la laringe no clasificadas en otra parte
J38.0,Paralisis de las cuerdas vocales y de la laringe
J38.1,Polipo de las cuerdas vocales y de la laringe
J38.2,Nodulos de las cuerdas vocales
J38.3,Otras enfermedades de las cuerdas vocales
J38.4,Edema de la laringe
J38.5,Espasmo laringeo
J38.6,Estenosis de la laringe
J38.7,Otras enfermedades de la laringe
J39,Otras enfermedades de las vias respiratorias superiores
J39.0,Absceso retrofaringeo y parafaringeo
J39.1,Otro absceso de la faringe
J39.2,Otras enfermedades de la faringe
J39.9,Enfermedad de las vias respiratorias superiores no especificada
J40,Bronquitis no especificada como aguda o cronica
J41,Bronquitis cronica simple y mucopurulenta
J41.0,Bronquitis cronica simple
J41.1,Bronquitis cronica mucopurulenta
J42,Bronquitis cronica no especificada
J43,Enfisema
J43.0,Sindrome de MacLeod
J43.1,Enfisema panlobular
J43.2,Enfisema centrolobular
J43.9,Enfisema no especificado
J44,Otras enfermedades pulmonares obstructivas cronicas
J44.0,Enfermedad pulmonar obstructiva cronica con infeccion aguda de las vias respiratorias inferiores
J44.1,Enfermedad pulmonar obstructiva cronica con exacerbacion aguda no especificada
J44.8,Otras enfermedades pulmonares obstructivas cronicas especificadas
J44.9,Enfermedad pulmonar obstructiva cronica no especificada
J45,Asma
J45.0,Asma predominantemente alergica
J45.1,Asma no alergica
J45.8,Asma mixta
J45.9,Asma no especificada
J46,Estado asmatico
J47,Bronquiectasia
J60,Neumoconiosis de los mineros del carbon
J61,Neumoconiosis debida al asbesto y a otras fibras minerales
J62,Neumoconiosis debida a polvo de silice
J63,Neumoconiosis debida a otros polvos inorganicos
J64,Neumoconiosis no especificada
J65,Neumoconiosis asociada con tuberculosis
J66,Enfermedad de las vias aereas debida a polvos organicos especificos
J67,Neumonitis debida a hipersensibilidad al polvo organico
J67.9,Neumonitis debida a hipersensibilidad al polvo organico no especificado
J68,Afecciones respiratorias debidas a inhalacion de gases humos vapores y sustancias quimicas
J68.0,Bronquitis y neumonitis quimica
J68.4,Afecciones respiratorias cronicas debidas a productos quimicos gases humos y vapores
J69,Neumonitis debida a solidos y liquidos
J69.0,Neumonitis debida a aspiracion de alimento o vomito
J69.1,Neumonitis debida a aspiracion de aceites y esencias
J70,Afecciones respiratorias debidas a otros agentes externos
J80,Sindrome de dificultad respiratoria del adulto
J81,Edema pulmonar
J82,Eosinofilia pulmonar no clasificada en otra parte
J84,Otras enfermedades pulmonares intersticiales
J84.0,Afecciones alveolares y alveoloparietales
J84.1,Otras enfermedades pulmonares intersticiales con fibrosis
J84.9,Enfermedad pulmonar intersticial no especificada
J85,Absceso del pulmon y del mediastino
J85.0,Gangrena y necrosis del pulmon
J85.1,Absceso del pulmon con neumonia
J85.2,Absceso del pulmon sin neumonia
J86,Piotorax
J86.0,Piotorax con fistula
J86.9,Piotorax sin fistula
J90,Derrame pleural no clasificado en otra parte
J91,Derrame pleural en afecciones clasificadas en otra parte
J92,Paquipleuritis
J93,Neumotorax
J93.0,Neumotorax espontaneo a tension
J93.1,Otros tipos de neumotorax espontaneo
J93.9,Neumotorax no especificado
J94,Otras afecciones de la pleura
J94.0,Quilotorax
J94.1,Fibrotorax
J94.2,Hemotorax
J95,Trastornos del sistema respiratorio consecutivos a procedimientos no clasificados en otra parte
J95.0,Mal funcionamiento de la traqueostomia
J95.5,Estenosis subglotica consecutiva a procedimientos
J96,Insuficiencia respiratoria no clasificada en otra parte
J96.0,Insuficiencia respiratoria aguda
J96.1,Insuficiencia respiratoria cronica
J96.9,Insuficiencia respiratoria no especificada
J98,Otros trastornos respiratorios
J98.0,Enfermedades de la traquea y de los bronquios no clasificadas en otra parte
J98.1,Colapso pulmonar
J98.4,Otros trastornos del pulmon
J98.5,Enfermedades del mediastino no clasificadas en otra parte
J98.6,Trastornos del diafragma
J98.9,Trastorno respiratorio no especificado
J99,Trastornos respiratorios en enfermedades clasificadas en otra parte
